market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
619984,APLD,Will Applied Digital (APLD) beat quarterly earnings?,1,regex,0.825,YES,4.0,4.0,Applied Digital Earnings,0.95,train,2025-10-06,0.825,27.71,2025-10-07,27.3,resolution-1d,0.0,-5.05,-1.48,2025-10-06 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10-04,2025-10-09,274,0.06,7592.54,126896.43,5.9833,4.36,4.76,resolution-1d,-112.34,-130.45,-1.7182,18.11,7480.2,11.1657
613055,WFC,Will Wells Fargo (WFC) beat quarterly earnings?,1,regex,0.86,YES,6.0,6.0,Wells Fargo Earnings,1.0,train,2025-09-26,0.86,85.01,2025-10-10,79.41,trailing_3.6ATR,0.21,-8.69,-6.59,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,89,0.06,7565.89,126804.48,5.9666,4.36,4.13,trailing_3.6ATR,-498.4,-514.85,-6.8049,16.45,7067.49,10.8106
613052,JPM,Will JPMorgan Chase (JPM) beat quarterly earnings?,1,regex,0.8,YES,6.0,6.0,JPMorgan Chase Earnings,1.0,train,2025-09-29,0.8,315.69,2025-10-10,300.89,resolution-1d,0.54,-4.71,-4.69,2025-09-29 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,24,0.06,7576.56,127098.94,5.9612,4.36,4.14,resolution-1d,-355.2,-371.82,-4.9075,16.62,7221.36,11.046
613066,DPZ,Will Domino’s Pizza (DPZ) beat quarterly earnings?,1,regex,0.675,YES,5.0,5.0,Domino's Pizza Earnings,0.95,train,2025-09-29,0.675,434.41,2025-10-10,406.37,resolution-1d,0.35,-6.92,-6.45,2025-09-29 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,17,0.06,7384.97,127090.44,5.8108,4.35,4.04,resolution-1d,-476.68,-492.87,-6.6739,16.19,6908.29,10.567
613056,GS,Will Goldman Sachs (GS) beat quarterly earnings?,1,regex,0.785,YES,6.0,6.0,Goldman Sachs Earnings,1.0,train,2025-09-29,0.785,804.12,2025-10-10,764.36,resolution-1d,0.68,-4.99,-4.94,2025-09-29 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,9,0.06,7237.08,127073.68,5.6952,4.33,3.97,resolution-1d,-357.84,-373.91,-5.1665,16.07,6879.24,10.5226
620048,FAST,Will Fastenal (FAST) beat quarterly earnings?,1,regex,0.755,YES,6.0,6.0,Fastenal Earnings,0.98,train,2025-10-06,0.755,47.78,2025-10-10,45.78,resolution-1d,0.48,-4.35,-4.19,2025-10-06 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-10-04,2025-10-13,159,0.06,7597.02,126905.11,5.9864,4.32,4.36,resolution-1d,-318.0,-335.06,-4.4105,17.06,7279.02,11.1339
619538,KEY,Will Key (KEY) beat quarterly earnings?,1,regex,0.72,YES,6.0,6.0,KeyCorp Earnings,0.98,train,2025-10-07,0.72,18.41,2025-10-14,18.01,resolution-1d,0.49,-6.68,-2.17,2025-10-07 00:00:00+00:00,2025-10-14 00:00:00+00:00,2025-10-04,2025-10-16,410,0.06,7548.1,126058.16,5.9878,4.34,5.21,resolution-1d,-164.0,-182.92,-2.4234,18.92,7384.1,11.1362
619557,TFC,Will Truist Financial (TFC) beat quarterly earnings?,1,regex,0.795,YES,6.0,6.0,Truist Financial Earnings,0.98,train,2025-10-07,0.795,45.2,2025-10-15,43.26,resolution-1d,0.15,-6.42,-4.29,2025-10-07 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-04,2025-10-17,167,0.06,7548.4,126066.85,5.9876,4.34,4.36,resolution-1d,-323.98,-341.04,-4.518,17.06,7224.42,10.8485
627753,LVS,Will Las Vegas Sands (LVS) beat quarterly earnings?,1,regex,0.73,NO,6.0,6.0,Las Vegas Sands Earnings,1.0,train,2025-10-13,0.73,46.47,2025-10-15,48.33,profit_lock_4%,4.17,-1.21,4.0,2025-10-13 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-09,2025-10-22,159,0.06,7388.73,123856.19,5.9656,4.27,4.25,profit_lock_4%,295.74,278.42,3.7682,17.32,7684.47,11.5394
627739,AAL,Will American Airlines Group (AAL) beat quarterly earnings?,1,regex,0.85,YES,6.0,6.0,American Airlines Earnings,1.0,train,2025-10-13,0.85,11.74,2025-10-15,12.21,profit_lock_4%,4.6,-1.87,4.0,2025-10-13 00:00:00+00:00,2025-10-15 00:00:00+00:00,2025-10-10,2025-10-23,632,0.06,7419.68,123839.07,5.9914,4.26,5.92,profit_lock_4%,297.04,276.37,3.7249,20.67,7716.72,11.5854
619560,EFX,Will Equifax Inc. (EFX) beat quarterly earnings?,1,regex,0.88,YES,6.0,6.0,Equifax Earnings,0.98,train,2025-10-07,0.88,237.99,2025-10-17,226.91,resolution-1d,2.68,-6.9,-4.66,2025-10-07 00:00:00+00:00,2025-10-17 00:00:00+00:00,2025-10-06,2025-10-21,31,0.06,7377.69,126048.61,5.8531,4.34,4.04,resolution-1d,-343.48,-359.79,-4.8767,16.31,7034.21,10.5755
627749,VZ,Will Verizon Communications (VZ) beat quarterly earnings?,1,regex,0.795,YES,7.0,7.0,Verizon Communications Earnings,1.0,train,2025-10-13,0.795,39.75,2025-10-21,40.55,profit_lock_2%,2.82,-0.86,2.0,2025-10-13 00:00:00+00:00,2025-10-21 00:00:00+00:00,2025-10-09,2025-10-29,186,0.06,7393.5,123847.67,5.9698,4.25,4.35,profit_lock_2%,148.8,131.45,1.7779,17.35,7542.3,11.2225
