market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
569210,IONS,FDA approves Donidalorsen?,1,llm,0.75,YES,5.0,5.0,Ionis Pharmaceuticals Donidalorsen Approval,0.9,train,2025-07-29,0.75,41.48,2025-07-31,45.63,profit_lock_10%,10.08,-1.62,10.0,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-21,338,0.12,14020.24,117175.15,11.9652,7.77,8.19,profit_lock_10%,1402.7,1369.36,9.7671,33.34,15422.94,24.3728
569190,SNY,FDA approves Sanofi’s Rilzabrutinib for immune thrombocytopenia?,1,llm,0.76,YES,5.0,5.0,Sanofi FDA Approval,0.9,train,2025-07-29,0.76,49.35,2025-07-31,46.46,trailing_3.8ATR,0.0,-9.36,-5.86,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-29,284,0.12,14015.4,117144.07,11.9642,7.72,8.0,trailing_3.8ATR,-820.76,-851.38,-6.0746,30.62,13194.64,20.8514
569187,PGEN,FDA approves Precigen’s PRGN-2012 for recurrent respiratory papillomatosis?,1,llm,0.775,YES,4.0,4.0,Precigen FDA Approval,0.95,train,2025-07-29,0.775,1.57,2025-07-31,1.84,profit_lock_17%,17.83,0.0,17.0,2025-07-29 00:00:00+00:00,2025-07-31 00:00:00+00:00,2025-07-29,2025-08-27,8923,0.12,14009.11,117128.35,11.9605,7.75,38.24,profit_lock_17%,2409.21,2314.79,16.5235,94.42,16418.32,25.8984
569208,BIIB,FDA approves Leqembi auto-injection for early Alzheimer’s?,1,llm,0.775,YES,5.0,5.0,Eisai and Biogen Alzheimer's Approval,0.95,train,2025-07-29,0.775,127.9,2025-08-01,134.3,profit_lock_5%,5.89,-2.61,5.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-31,109,0.12,13941.1,117159.18,11.8993,7.76,7.35,profit_lock_5%,697.6,666.72,4.7824,30.88,14638.7,23.5201
569186,TLX,FDA approves Telix Pharmaceuticals’ TLX250-CDx for kidney cancer imaging?,1,llm,0.815,YES,5.0,5.0,Telix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.815,13.49,2025-08-01,14.16,profit_lock_5%,5.04,-4.38,5.0,2025-07-29 00:00:00+00:00,2025-08-01 00:00:00+00:00,2025-07-29,2025-08-27,1040,0.12,14029.6,117082.37,11.9827,7.77,10.65,profit_lock_5%,696.8,659.26,4.6991,37.54,14726.4,23.6558
569182,TNXP,FDA approves Tonix Pharmaceuticals’ TNX-102 SL for fibromyalgia?,1,llm,0.805,YES,4.0,4.0,Tonix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.805,42.63,2025-08-04,44.64,poly<0.5347387666387801,2.63,-16.35,4.71,2025-07-29 00:00:00+00:00,2025-08-04 00:00:00+00:00,2025-07-29,2025-08-15,107,0.12,4561.41,117063.95,3.8965,2.78,2.66,poly<0.5347387666387801,215.07,204.0,4.4723,11.07,4776.48,7.5587
569209,TVTX,FDA approves FILSPARI REMS modification?,1,llm,0.795,YES,4.0,4.0,Travere Therapeutics FILSPARI REMS,0.9,train,2025-07-31,0.795,15.45,2025-08-05,16.07,profit_lock_4%,4.85,-2.72,4.0,2025-07-31 00:00:00+00:00,2025-08-05 00:00:00+00:00,2025-07-29,2025-08-28,929,0.12,14353.05,119804.24,11.9804,7.93,10.43,profit_lock_4%,575.98,538.68,3.7531,37.3,14929.03,23.7433
569179,LENZ,FDA approves LENZ Therapeutics’ LNZ100 for presbyopia by August 31?,1,llm,0.805,YES,5.0,5.0,LENZ Therapeutics FDA Approval,0.95,train,2025-07-29,0.805,31.67,2025-08-07,32.12,resolution-1d,2.81,-12.25,1.42,2025-07-29 00:00:00+00:00,2025-08-07 00:00:00+00:00,2025-07-29,2025-08-08,1,0.12,31.67,117058.51,0.0271,0.0,0.37,resolution-1d,0.45,-0.65,-2.0608,1.1,32.12,0.0496
569189,OTLK,FDA approves Outlook Therapeutics’ ONS-5010 for wet AMD?,1,llm,0.695,NO,4.0,4.0,Outlook Therapeutics FDA Approval,0.95,train,2025-08-04,0.695,2.01,2025-08-11,1.96,poly<0.5347387666387801,1.99,-11.19,-2.49,2025-08-04 00:00:00+00:00,2025-08-11 00:00:00+00:00,2025-07-29,2025-08-31,7298,0.12,14668.98,122583.24,11.9665,8.11,32.88,poly<0.5347387666387801,-364.9,-446.46,-3.0436,81.56,14304.08,22.4297
598106,FDX,Will Fedex (FDX) beat its quarterly EPS estimate?,1,llm,0.76,YES,6.0,6.0,FedEx Earnings,1.0,train,2025-09-16,0.76,183.48,2025-09-18,182.51,poly<0.5347387666387801,2.27,-1.46,-0.53,2025-09-16 00:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-15,2025-09-25,83,0.12,15228.84,127975.29,11.8998,8.35,7.96,poly<0.5347387666387801,-80.51,-113.08,-0.7425,32.57,15148.33,22.8491
599650,CASH,Will Pathward Financial (CASH) beat its quarterly EPS estimate?,1,llm,0.715,NO,4.0,4.0,Pathward Financial Earnings,1.0,train,2025-09-16,0.715,74.62,2025-09-18,80.59,profit_lock_8%,8.07,-1.26,8.0,2025-09-16 00:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-16,2025-10-22,205,0.12,15297.1,127959.06,11.9547,8.4,8.37,profit_lock_8%,1223.85,1189.04,7.773,34.81,16520.95,24.9191
598105,FDS,Will Factset Research (FDS) beat its quarterly EPS estimate?,1,llm,0.73,NO,6.0,6.0,FactSet Research Systems Earnings,0.9,train,2025-09-17,0.73,336.04,2025-09-18,301.23,poly<0.5347387666387801,0.0,-11.36,-10.36,2025-09-17 00:00:00+00:00,2025-09-18 00:00:00+00:00,2025-09-15,2025-09-25,16,0.12,5376.64,129116.64,4.1642,3.29,3.04,poly<0.5347387666387801,-556.96,-568.94,-10.5817,11.98,4819.68,7.2691
598107,MU,Will Micron Tech (MU) beat its quarterly EPS estimate?,1,llm,0.775,YES,6.0,6.0,Micron Technology Earnings,1.0,train,2025-09-15,0.775,157.77,2025-09-19,170.39,profit_lock_8%,8.04,-1.59,8.0,2025-09-15 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-09-30,97,0.12,15303.69,127915.44,11.9639,8.43,8.0,profit_lock_8%,1224.14,1190.03,7.7761,34.11,16527.83,24.8759
598111,JBL,Will Jabil (JBL) beat its quarterly EPS estimate?,1,llm,0.73,YES,5.0,5.0,Jabil Earnings,0.9,train,2025-09-16,0.73,213.33,2025-09-19,226.13,profit_lock_6%,6.17,-2.31,6.0,2025-09-16 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-15,2025-10-02,71,0.12,15146.43,127991.65,11.8339,8.44,7.92,profit_lock_6%,908.8,875.25,5.7786,33.55,16055.23,24.1646
599915,BLSH,Will Bullish (BLSH) beat its quarterly EPS estimate?,1,llm,0.715,YES,4.0,4.0,Bullish Earnings,1.0,train,2025-09-16,0.715,51.36,2025-09-19,66.25,profit_lock_29%,29.44,-5.53,29.0,2025-09-16 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-16,2025-09-24,298,0.12,15305.28,127942.3,11.9626,8.43,8.7,profit_lock_29%,4437.22,4398.42,28.7379,38.8,19742.5,29.7135
599651,MLKN,Will MillerKnoll (MLKN) beat its quarterly EPS estimate?,1,llm,0.705,YES,5.0,5.0,MillerKnoll Earnings,1.0,train,2025-09-17,0.705,20.04,2025-09-19,20.64,profit_lock_3%,3.44,-0.4,3.0,2025-09-17 00:00:00+00:00,2025-09-19 00:00:00+00:00,2025-09-16,2025-09-30,9,0.12,180.36,129110.32,0.1397,0.0,0.44,profit_lock_3%,5.4,4.07,2.2563,1.33,185.76,0.2785
598104,GIS,Will General Mills (GIS) beat its quarterly EPS estimate?,1,llm,0.73,YES,6.0,6.0,General Mills Earnings,1.0,train,2025-09-15,0.73,49.01,2025-09-22,50.48,profit_lock_3%,3.59,-1.2,3.0,2025-09-15 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-09-15,2025-09-24,312,0.12,15291.12,127932.57,11.9525,8.39,8.74,profit_lock_3%,458.64,423.89,2.7721,34.75,15749.76,23.5921
599652,PRGS,Will Progress Software (PRGS) beat its quarterly EPS estimate?,1,llm,0.705,YES,5.0,5.0,Progress Software Earnings,1.0,train,2025-09-16,0.705,42.11,2025-09-22,43.37,profit_lock_3%,3.7,-2.04,3.0,2025-09-16 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-09-16,2025-10-06,364,0.12,15328.04,127925.17,11.982,8.44,8.94,profit_lock_3%,458.64,423.42,2.7624,35.22,15786.68,23.6471
598110,ACN,Will Accenture (ACN) beat its quarterly EPS estimate?,1,llm,0.75,YES,6.0,6.0,Accenture Earnings,1.0,train,2025-09-15,0.75,237.87,2025-09-30,247.38,profit_lock_4%,4.73,-3.56,4.0,2025-09-15 00:00:00+00:00,2025-09-30 00:00:00+00:00,2025-09-15,2025-10-02,64,0.12,15223.68,127948.99,11.8982,8.45,7.96,profit_lock_4%,608.64,575.27,3.7788,33.37,15832.32,23.7404
613067,JNJ,Will Johnson & Johnson (JNJ) beat quarterly earnings?,1,llm,0.805,YES,6.0,6.0,Johnson & Johnson Earnings,0.95,train,2025-09-26,0.805,179.71,2025-10-01,185.1,profit_lock_3%,3.49,-1.33,3.0,2025-09-26 00:00:00+00:00,2025-10-01 00:00:00+00:00,2025-09-26,2025-10-14,38,0.12,6828.98,135171.33,5.0521,3.96,3.76,profit_lock_3%,204.82,189.17,2.7702,15.65,7033.8,10.5107
613049,LEVI,Will Levi Strauss & Co. (LEVI) beat quarterly earnings?,1,llm,0.825,YES,5.0,5.0,Levi Strauss Earnings,1.0,train,2025-09-26,0.825,23.02,2025-10-02,24.4,profit_lock_6%,6.08,-1.39,6.0,2025-09-26 00:00:00+00:00,2025-10-02 00:00:00+00:00,2025-09-26,2025-10-09,703,0.12,16183.06,135208.28,11.969,8.88,10.55,profit_lock_6%,970.14,930.28,5.7485,39.86,17153.2,25.6011
613057,C,Will Citigroup (C) beat quarterly earnings?,1,llm,0.805,YES,6.0,6.0,Citigroup Earnings,0.95,train,2025-09-26,0.805,103.42,2025-10-02,97.4,trailing_3.8ATR,0.94,-6.5,-5.82,2025-09-26 00:00:00+00:00,2025-10-02 00:00:00+00:00,2025-09-26,2025-10-14,156,0.12,16133.52,135188.85,11.9341,8.9,8.61,trailing_3.8ATR,-939.12,-973.13,-6.0318,34.01,15194.4,22.68
613050,PEP,Will PepsiCo (PEP) beat quarterly earnings?,1,llm,0.8,YES,6.0,6.0,PepsiCo Earnings,1.0,train,2025-09-26,0.8,140.44,2025-10-07,140.79,resolution-1d,2.09,-1.11,0.25,2025-09-26 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-09-26,2025-10-09,115,0.12,16150.6,135225.64,11.9434,8.88,8.48,resolution-1d,40.25,5.51,0.0341,34.74,16190.85,24.1712
613051,DAL,Will Delta Air Lines (DAL) beat quarterly earnings?,1,llm,0.74,YES,6.0,6.0,Delta Air Lines Earnings,1.0,train,2025-10-01,0.74,56.11,2025-10-07,58.35,profit_lock_4%,4.31,-0.55,4.0,2025-10-01 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-09-26,2025-10-09,130,0.12,7294.3,134161.02,5.437,4.21,4.1,profit_lock_4%,291.2,274.29,3.7604,16.91,7585.5,11.3237
614615,TSLA,Will Tesla (TSLA) beat quarterly earnings?,1,llm,0.75,YES,6.0,6.0,Tesla Earnings,0.95,train,2025-10-02,0.75,436.0,2025-10-07,453.44,profit_lock_4%,4.03,-4.45,4.0,2025-10-02 00:00:00+00:00,2025-10-07 00:00:00+00:00,2025-10-02,2025-10-22,36,0.12,15696.0,133602.53,11.7483,8.81,8.2,profit_lock_4%,627.84,593.36,3.7803,34.48,16323.84,24.3699
613052,JPM,Will JPMorgan Chase (JPM) beat quarterly earnings?,1,llm,0.79,YES,6.0,6.0,JPMorgan Chase Earnings,1.0,train,2025-09-26,0.79,316.06,2025-10-10,300.89,resolution-1d,0.62,-4.83,-4.8,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,51,0.12,16119.06,135295.24,11.914,8.92,8.41,resolution-1d,-773.67,-807.46,-5.0094,33.79,15345.39,23.4739
613056,GS,Will Goldman Sachs (GS) beat quarterly earnings?,1,llm,0.775,YES,6.0,6.0,Goldman Sachs Earnings,1.0,train,2025-09-26,0.775,802.51,2025-10-10,764.36,resolution-1d,0.89,-4.8,-4.75,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,20,0.12,16050.2,135260.48,11.8661,8.9,8.38,resolution-1d,-763.0,-796.68,-4.9637,33.68,15287.2,23.3849
613055,WFC,Will Wells Fargo (WFC) beat quarterly earnings?,1,llm,0.86,YES,6.0,6.0,Wells Fargo Earnings,1.0,train,2025-09-26,0.86,85.01,2025-10-10,79.14,trailing_3.8ATR,0.21,-8.69,-6.91,2025-09-26 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-26,2025-10-14,190,0.12,16151.9,135243.21,11.9429,8.83,8.74,trailing_3.8ATR,-1115.3,-1149.33,-7.1158,34.03,15036.6,23.001
614639,CFG,Will Citizens Financial Group (CFG) beat quarterly earnings?,1,llm,0.755,YES,5.0,5.0,Citizens Financial Group Earnings,0.95,train,2025-09-29,0.755,53.65,2025-10-10,51.4,trailing_3.8ATR,2.96,-8.28,-4.19,2025-09-29 00:00:00+00:00,2025-10-10 00:00:00+00:00,2025-09-27,2025-10-15,1,0.12,53.65,135399.24,0.0396,0.0,0.38,trailing_3.8ATR,-2.25,-3.38,-6.3047,1.13,51.4,0.0776
