date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2025-02-13,114138.88,111869.69,19.66,187.1635,0
2025-02-14,114133.27,111864.2,19.66,187.1635,0
2025-02-18,114468.29,112192.61,19.66,187.1635,0
2025-02-19,114737.81,112456.81,19.66,187.1635,0
2025-02-20,114260.54,111988.96,19.66,187.1635,0
2025-02-21,112306.55,110073.49,19.66,187.1635,0
2025-02-24,111795.6,109572.6,19.66,187.1635,0
2025-02-25,111239.72,109027.68,19.66,187.1635,0
2025-02-26,111295.87,109082.72,19.66,187.1635,0
2025-02-27,109519.69,107341.55,19.66,187.1635,0
2025-02-28,111228.49,109016.67,19.66,187.1635,0
2025-03-03,109280.12,107106.71,19.66,187.1635,0
2025-03-04,107986.82,105838.9,19.66,187.1635,0
2025-03-05,109147.23,106976.44,19.66,187.1635,0
2025-03-06,107210.09,105077.49,19.66,187.1635,0
2025-03-07,107810.88,105666.43,19.66,187.1635,0
2025-03-10,104939.8,102851.95,19.66,187.1635,0
2025-03-11,104067.61,101996.95,19.66,187.1635,0
2025-03-12,104619.75,102538.2,19.66,187.1635,0
2025-03-13,103225.38,101171.32,19.66,187.1635,0
2025-03-14,105357.17,103261.09,19.66,187.1635,0
2025-03-17,106169.47,104057.37,19.66,187.1635,0
2025-03-18,105022.15,102932.67,19.66,187.1635,0
2025-03-19,106165.72,104053.7,19.66,187.1635,0
2025-03-20,105858.77,103752.8,19.66,187.1635,0
2025-03-21,105576.15,103475.75,19.66,187.1635,0
2025-03-24,107466.51,105328.85,19.66,187.1635,0
2025-03-25,107724.79,105582.04,19.66,187.1635,0
2025-03-26,106438.98,104321.58,19.66,187.1635,0
2025-03-27,106156.36,104044.53,19.66,187.1635,0
2025-03-28,104018.95,101949.24,19.66,187.1635,0
2025-03-31,104717.07,102633.61,19.66,187.1635,0
2025-04-01,105012.78,102923.49,19.66,187.1635,0
2025-04-02,105677.22,103574.83,19.66,187.1635,0
2025-04-03,100470.33,98470.58,19.66,187.1635,0
2025-04-04,94589.65,92705.82,19.66,187.1635,0
2025-04-07,94421.21,92540.7,19.66,187.1635,0
2025-04-08,92942.62,91091.25,19.66,187.1635,0
2025-04-09,102701.32,100657.59,19.66,187.1635,0
2025-04-10,98201.91,96246.88,19.66,187.1635,0
2025-04-11,99953.76,97964.19,19.66,187.1635,0
2025-04-14,100923.27,98914.59,19.66,187.1635,0
2025-04-15,100640.65,98637.54,19.66,187.1635,0
2025-04-16,98404.04,96445.02,19.66,187.1635,0
2025-04-17,98544.41,96582.63,19.66,187.1635,0
2025-04-21,96199.26,94283.7,19.66,187.1635,0
2025-04-22,98701.64,96736.75,19.66,187.1635,0
2025-04-23,100230.76,98235.73,19.66,187.1635,0
2025-04-24,102340.1,100303.49,19.66,187.1635,0
2025-04-25,103079.39,101028.21,19.66,187.1635,0
2025-04-28,103118.69,101066.73,19.66,187.1635,0
2025-04-29,103768.15,101703.4,19.66,187.1635,0
2025-04-30,103809.32,101743.75,19.66,187.1635,0
2025-05-01,104544.88,102464.81,19.66,187.1635,0
2025-05-02,106096.47,103985.81,19.66,187.1635,0
2025-05-05,105488.19,103389.52,19.66,187.1635,0
2025-05-06,104606.64,102525.36,19.66,187.1635,0
2025-05-07,105046.48,102956.53,19.66,187.1635,0
2025-05-08,105778.29,103673.91,19.66,187.1635,0
2025-05-09,105643.54,103541.81,19.66,187.1635,0
2025-05-12,109134.13,106963.6,19.66,187.1635,0
2025-05-13,109854.72,107669.98,19.66,187.1635,0
2025-05-14,109995.09,107807.58,19.66,187.1635,0
2025-05-15,110532.25,108334.15,19.66,187.1635,0
2025-05-16,111232.24,109020.35,19.66,187.1635,0
2025-05-19,111353.89,109139.6,19.66,187.1635,0
2025-05-20,110979.56,108772.65,19.66,187.1635,0
2025-05-21,109109.8,106939.74,19.66,187.1635,0
2025-05-22,109152.85,106981.95,19.66,187.1635,0
2025-05-23,108407.93,106251.72,19.66,187.1635,0
2025-05-27,110661.39,108460.75,19.66,187.1635,0
2025-05-28,110021.28,107833.26,19.66,187.1635,0
2025-05-29,110455.5,108258.92,19.66,187.1635,0
2025-05-30,110331.98,108137.84,19.66,187.1635,0
2025-06-02,110953.37,108746.97,19.66,187.1635,0
2025-06-03,111585.98,109367.11,19.66,187.1635,0
2025-06-04,111556.03,109337.75,19.66,187.1635,0
2025-06-05,111016.99,108809.35,19.66,187.1635,0
2025-06-06,112156.83,109926.71,19.66,187.1635,0
2025-06-09,112243.15,110025.78,49.43,164.7328,1
2025-06-10,113144.62,110649.6,49.43,164.7328,1
2025-06-11,112687.2,110334.02,49.43,164.7328,1
2025-06-12,113334.42,110772.52,49.43,164.7328,1
2025-06-13,112158.83,109534.07,10.42,142.9086,2
2025-06-16,112628.22,110576.2,18.49,142.6989,2
2025-06-17,112638.76,109631.32,18.49,142.6989,2
2025-06-18,112495.29,109614.8,0.48,142.7348,2
2025-06-20,111486.33,109035.03,18.07,142.7308,2
2025-06-23,110808.06,110112.02,18.07,142.7308,2
2025-06-24,110983.55,111328.45,14.94,139.0853,2
2025-06-25,111029.35,111390.83,14.94,139.0853,2
2025-06-26,111930.33,112262.33,14.94,139.0853,2
2025-06-27,112196.45,112820.09,14.94,182.4357,0
2025-06-30,112732.82,113359.5,14.94,182.4357,0
2025-07-01,112696.34,113322.82,14.94,182.4357,0
2025-07-02,113207.16,113836.54,14.94,182.4357,0
2025-07-03,114099.27,114733.73,14.94,182.4357,0
2025-07-07,113249.11,113878.74,14.94,182.4357,0
2025-07-08,113187.09,113816.36,14.94,182.4357,0
2025-07-09,113865.75,114498.88,14.94,182.4357,0
2025-07-10,114186.83,114821.8,14.94,182.4357,0
2025-07-11,113785.47,114418.15,14.94,182.4357,0
2025-07-14,114002.57,114636.49,14.94,182.4357,0
2025-07-15,113515.47,114146.61,14.94,182.4357,0
2025-07-16,113894.93,114528.23,14.94,182.4357,0
2025-07-17,114591.84,115229.11,14.94,182.4357,0
2025-07-18,114507.92,115144.71,14.94,182.4357,0
2025-07-21,114725.02,115363.05,14.94,182.4357,0
2025-07-22,114726.25,115379.56,-0.0,161.0278,1
2025-07-23,115862.79,116361.15,-0.0,161.0278,1
2025-07-24,115710.6,116399.67,-0.0,161.0278,1
2025-07-25,116089.45,116891.38,2.73,139.159,2
2025-07-28,115820.58,116862.03,95.89,117.3398,3
2025-07-29,116964.35,116553.79,10.93,0.0,9
2025-07-30,118862.38,116407.02,10.93,67.5484,6
2025-07-31,119662.95,115970.35,5.81,115.8927,4
2025-08-01,120014.38,114069.55,5.81,163.0459,2
2025-08-04,122452.61,115803.38,5.81,170.534,1
2025-08-05,121990.06,115216.26,5.81,194.2517,0
2025-08-06,122924.42,116098.78,5.81,194.2517,0
2025-08-07,122821.46,116001.54,5.81,194.2517,0
2025-08-08,123779.12,116906.06,5.81,194.2517,0
2025-08-11,123534.36,116674.88,5.81,194.2517,0
2025-08-12,124849.45,117917.01,5.81,194.2517,0
2025-08-13,125276.81,118320.65,5.81,194.2517,0
2025-08-14,125251.08,118331.66,1.71,170.9494,1
2025-08-15,124437.56,118054.61,1.71,170.9494,1
2025-08-18,127067.15,118028.92,1.71,170.9494,1
2025-08-19,127910.56,117388.6,1.71,199.9169,0
2025-08-20,127570.7,117076.69,1.71,199.9169,0
2025-08-21,127058.91,116607.0,1.71,199.9169,0
2025-08-22,129010.11,118397.71,1.71,199.9169,0
