date,equity,benchmark_equity,cash,benchmark_shares,open_positions
2025-02-12,113037.69,110700.96,29.21,187.2986,0
2025-02-13,114230.78,111869.69,29.21,187.2986,0
2025-02-14,114225.17,111864.2,29.21,187.2986,0
2025-02-18,114560.43,112192.61,29.21,187.2986,0
2025-02-19,114830.14,112456.81,29.21,187.2986,0
2025-02-20,114352.53,111988.96,29.21,187.2986,0
2025-02-21,112397.13,110073.49,29.21,187.2986,0
2025-02-24,111885.81,109572.6,29.21,187.2986,0
2025-02-25,111329.53,109027.68,29.21,187.2986,0
2025-02-26,111385.71,109082.72,29.21,187.2986,0
2025-02-27,109608.25,107341.55,29.21,187.2986,0
2025-02-28,111318.29,109016.67,29.21,187.2986,0
2025-03-03,109368.51,107106.71,29.21,187.2986,0
2025-03-04,108074.28,105838.9,29.21,187.2986,0
2025-03-05,109235.53,106976.44,29.21,187.2986,0
2025-03-06,107296.99,105077.49,29.21,187.2986,0
2025-03-07,107898.21,105666.43,29.21,187.2986,0
2025-03-10,105025.06,102851.95,29.21,187.2986,0
2025-03-11,104152.24,101996.95,29.21,187.2986,0
2025-03-12,104704.78,102538.2,29.21,187.2986,0
2025-03-13,103309.4,101171.32,29.21,187.2986,0
2025-03-14,105442.73,103261.09,29.21,187.2986,0
2025-03-17,106255.61,104057.37,29.21,187.2986,0
2025-03-18,105107.47,102932.67,29.21,187.2986,0
2025-03-19,106251.86,104053.7,29.21,187.2986,0
2025-03-20,105944.69,103752.8,29.21,187.2986,0
2025-03-21,105661.87,103475.75,29.21,187.2986,0
2025-03-24,107553.59,105328.85,29.21,187.2986,0
2025-03-25,107812.06,105582.04,29.21,187.2986,0
2025-03-26,106525.32,104321.58,29.21,187.2986,0
2025-03-27,106242.5,104044.53,29.21,187.2986,0
2025-03-28,104103.54,101949.24,29.21,187.2986,0
2025-03-31,104802.17,102633.61,29.21,187.2986,0
2025-04-01,105098.1,102923.49,29.21,187.2986,0
2025-04-02,105763.02,103574.83,29.21,187.2986,0
2025-04-03,100552.37,98470.58,29.21,187.2986,0
2025-04-04,94667.44,92705.82,29.21,187.2986,0
2025-04-07,94498.88,92540.7,29.21,187.2986,0
2025-04-08,93019.22,91091.25,29.21,187.2986,0
2025-04-09,102784.96,100657.59,29.21,187.2986,0
2025-04-10,98282.31,96246.88,29.21,187.2986,0
2025-04-11,100035.42,97964.19,29.21,187.2986,0
2025-04-14,101005.63,98914.59,29.21,187.2986,0
2025-04-15,100722.81,98637.54,29.21,187.2986,0
2025-04-16,98484.58,96445.02,29.21,187.2986,0
2025-04-17,98625.06,96582.63,29.21,187.2986,0
2025-04-21,96278.21,94283.7,29.21,187.2986,0
2025-04-22,98782.39,96736.75,29.21,187.2986,0
2025-04-23,100312.62,98235.73,29.21,187.2986,0
2025-04-24,102423.48,100303.49,29.21,187.2986,0
2025-04-25,103163.31,101028.21,29.21,187.2986,0
2025-04-28,103202.64,101066.73,29.21,187.2986,0
2025-04-29,103852.57,101703.4,29.21,187.2986,0
2025-04-30,103893.77,101743.75,29.21,187.2986,0
2025-05-01,104629.85,102464.81,29.21,187.2986,0
2025-05-02,106182.56,103985.81,29.21,187.2986,0
2025-05-05,105573.84,103389.52,29.21,187.2986,0
2025-05-06,104691.66,102525.36,29.21,187.2986,0
2025-05-07,105131.82,102956.53,29.21,187.2986,0
2025-05-08,105864.15,103673.91,29.21,187.2986,0
2025-05-09,105729.3,103541.81,29.21,187.2986,0
2025-05-12,109222.42,106963.6,29.21,187.2986,0
2025-05-13,109943.52,107669.98,29.21,187.2986,0
2025-05-14,110084.0,107807.58,29.21,187.2986,0
2025-05-15,110621.54,108334.15,29.21,187.2986,0
2025-05-16,111322.04,109020.35,29.21,187.2986,0
2025-05-19,111443.78,109139.6,29.21,187.2986,0
2025-05-20,111069.18,108772.65,29.21,187.2986,0
2025-05-21,109198.07,106939.74,29.21,187.2986,0
2025-05-22,109241.15,106981.95,29.21,187.2986,0
2025-05-23,108495.7,106251.72,29.21,187.2986,0
2025-05-27,110750.78,108460.75,29.21,187.2986,0
2025-05-28,110110.21,107833.26,29.21,187.2986,0
2025-05-29,110544.74,108258.92,29.21,187.2986,0
2025-05-30,110421.13,108137.84,29.21,187.2986,0
2025-06-02,111042.96,108746.97,29.21,187.2986,0
2025-06-03,111676.04,109367.11,29.21,187.2986,0
2025-06-04,111646.06,109337.75,29.21,187.2986,0
2025-06-05,111106.64,108809.35,29.21,187.2986,0
2025-06-06,112247.29,109926.71,29.21,187.2986,0
2025-06-09,112333.69,110025.78,60.3,164.8656,1
2025-06-10,113235.61,110649.6,60.3,164.8656,1
2025-06-11,112777.97,110334.02,60.3,164.8656,1
2025-06-12,113425.5,110772.52,60.3,164.8656,1
2025-06-13,112249.01,109534.07,21.24,143.0415,2
2025-06-16,112719.16,110576.2,29.4,142.8317,2
2025-06-17,112729.02,109631.32,29.4,142.8317,2
2025-06-18,112585.53,109614.8,4.62,142.8677,2
2025-06-20,111575.8,109035.03,28.81,142.8633,2
2025-06-23,110840.61,110112.02,40.38,140.5193,2
2025-06-24,111009.85,111328.45,40.38,140.5193,2
2025-06-25,111054.27,111390.83,40.38,140.5193,2
2025-06-26,111956.52,112262.33,40.38,140.5193,2
2025-06-27,112231.86,112820.09,40.38,182.4519,0
2025-06-30,112768.27,113359.5,40.38,182.4519,0
2025-07-01,112731.79,113322.82,40.38,182.4519,0
2025-07-02,113242.65,113836.54,40.38,182.4519,0
2025-07-03,114134.84,114733.73,40.38,182.4519,0
2025-07-07,113284.61,113878.74,40.38,182.4519,0
2025-07-08,113222.59,113816.36,40.38,182.4519,0
2025-07-09,113901.3,114498.88,40.38,182.4519,0
2025-07-10,114222.42,114821.8,40.38,182.4519,0
2025-07-11,113821.02,114418.15,40.38,182.4519,0
2025-07-14,114038.14,114636.49,40.38,182.4519,0
2025-07-15,113551.0,114146.61,40.38,182.4519,0
2025-07-16,113930.49,114528.23,40.38,182.4519,0
2025-07-17,114627.46,115229.11,40.38,182.4519,0
2025-07-18,114543.54,115144.71,40.38,182.4519,0
2025-07-21,114760.65,115363.05,40.38,182.4519,0
2025-07-22,114761.89,115379.56,-0.0,161.0845,1
2025-07-23,115898.74,116361.15,-0.0,161.0845,1
2025-07-24,115746.56,116399.67,-0.0,161.0845,1
2025-07-25,116125.55,116891.38,7.07,139.2088,2
2025-07-28,115856.27,116862.03,-0.0,117.5464,3
2025-07-29,116999.03,116553.79,29.49,0.0,9
2025-07-30,117106.63,116407.02,29.49,67.5484,6
2025-07-31,117533.0,115970.35,13.17,71.1591,6
2025-08-01,118457.7,114069.55,13.17,102.3664,4
2025-08-04,121194.87,115803.38,13.17,148.3736,2
2025-08-05,121311.16,115216.26,13.17,171.6569,1
2025-08-06,121999.51,116098.78,13.17,171.6569,1
2025-08-07,122755.86,116001.54,13.17,194.1363,0
2025-08-08,123712.95,116906.06,13.17,194.1363,0
2025-08-11,123468.34,116674.88,13.17,194.1363,0
2025-08-12,124782.64,117917.01,13.17,194.1363,0
2025-08-13,125209.74,118320.65,13.17,194.1363,0
2025-08-14,125184.04,118331.66,0.97,170.8579,1
2025-08-15,124370.92,118054.61,0.97,170.8579,1
2025-08-18,126999.24,118028.92,0.97,170.8579,1
2025-08-19,127842.26,117388.6,0.97,199.8113,0
2025-08-20,127502.58,117076.69,0.97,199.8113,0
2025-08-21,126991.07,116607.0,0.97,199.8113,0
2025-08-22,128941.23,118397.71,0.97,199.8113,0
2025-08-25,128373.76,117876.64,0.97,199.8113,0
2025-08-26,128911.25,118370.18,0.97,199.8113,0
2025-08-27,129204.98,118639.89,0.97,199.8113,0
2025-08-28,129662.54,119060.05,0.97,199.8113,0
2025-08-29,128889.27,118350.0,0.97,199.8113,0
2025-09-02,127934.18,117473.0,0.97,199.8113,0
2025-09-03,128627.52,118109.65,0.97,199.8113,0
2025-09-04,129702.51,119096.74,0.97,199.8113,0
2025-09-05,129326.86,118751.81,0.97,199.8113,0
2025-09-08,129644.57,119043.54,0.97,199.8113,0
2025-09-09,129944.28,119318.75,0.97,199.8113,0
2025-09-10,130319.93,119663.68,0.97,199.8113,0
2025-09-11,131402.9,120658.11,0.97,199.8113,0
2025-09-12,131358.94,120617.74,0.97,199.8113,0
2025-09-15,132006.78,121259.9,44.05,128.1643,3
2025-09-16,132015.57,121092.94,34.85,8.3569,8
2025-09-17,133258.03,120942.49,19.94,0.0,10
2025-09-18,139498.61,121507.6,19.94,56.7141,7
2025-09-19,139688.36,121771.8,19.94,138.2557,4
2025-09-22,140680.51,122347.91,19.94,187.1832,1
2025-09-23,139704.7,121681.9,19.94,187.1832,1
2025-09-24,139546.01,121294.76,19.94,187.1832,1
2025-09-25,138544.78,120735.17,19.94,187.1832,1
2025-09-26,139537.36,121426.87,-0.0,1.1958,9
2025-09-29,139864.7,121768.13,-0.0,0.2216,10
2025-09-30,139542.5,122226.81,-0.0,24.7039,9
2025-10-01,139159.72,122643.3,18.38,1.0774,10
2025-10-02,138761.82,122784.57,67.79,26.0322,9
2025-10-03,138905.13,122782.74,67.79,26.0322,9
2025-10-06,139870.41,123223.08,51.88,1.1385,10
2025-10-07,139471.02,122766.23,2.03,52.8063,8
2025-10-08,138797.62,123498.29,4.1,3.3113,10
2025-10-09,138866.93,123140.51,22.24,3.5882,10
2025-10-10,136719.21,119812.3,11.56,59.0538,7
2025-10-13,138013.46,121650.7,1.92,10.0416,8
2025-10-14,140293.22,121502.09,1.92,34.7049,7
2025-10-15,140525.63,122041.5,1.92,111.4352,4
2025-10-16,139576.31,121210.37,1.92,137.3542,3
2025-10-17,140520.68,121898.4,33.82,10.5984,8
2025-10-20,142665.6,123166.2,13.73,0.0,9
2025-10-21,143124.53,123164.36,6.75,0.0,9
2025-10-22,142384.04,122524.04,11.56,0.0,9
2025-10-23,142608.89,123250.6,-0.0,0.154,10
2025-10-24,144151.55,124257.87,-0.0,0.154,10
2025-10-27,146340.54,125723.83,39.25,0.0,9
2025-10-28,145504.04,126057.75,-0.0,0.1555,9
2025-10-29,144463.34,126118.3,10.04,0.0,9
2025-10-30,141564.21,124731.24,11.53,0.0,10
2025-10-31,144202.58,125140.38,44.27,0.0,10
2025-11-03,144271.71,125375.23,77.15,0.6704,10
2025-11-04,145084.2,123889.09,77.15,164.973,3
2025-11-05,145803.42,124318.42,77.15,215.0687,0
2025-11-06,144239.87,122984.56,77.15,215.0687,0
2025-11-07,144217.17,123105.65,0.24,34.7923,7
2025-11-10,145756.88,125026.63,0.24,59.5172,6
2025-11-11,147279.42,125312.85,2.27,0.0,10
2025-11-12,146946.54,125382.57,51.35,26.0915,9
2025-11-13,143801.23,123301.97,50.98,0.6349,9
2025-11-14,143755.67,123281.79,50.98,24.714,8
2025-11-17,140145.0,122133.24,50.98,24.714,8
2025-11-18,139511.96,121107.62,50.98,124.893,4
2025-11-19,140070.58,121575.48,50.98,124.893,4
2025-11-20,137580.28,119722.4,50.98,151.1031,3
2025-11-21,138534.13,120914.98,50.98,200.4242,1
2025-11-24,140287.75,122694.67,35.41,0.0,10
2025-11-25,144088.2,123848.73,35.41,0.0,10
2025-11-26,143305.96,124703.71,0.0,51.119,8
2025-11-28,144894.96,125384.41,19.4,25.4851,9
2025-12-01,145594.99,124811.97,-0.0,60.3112,6
2025-12-02,145540.74,125043.15,9.39,35.3884,7
2025-12-03,147562.94,125476.14,9.39,35.3884,7
2025-12-04,147014.46,125567.88,56.65,0.0,9
2025-12-05,147469.33,125806.39,38.13,0.0,10
2025-12-08,147685.2,125428.44,38.13,0.0,10
2025-12-09,146994.17,125320.18,3.42,0.9332,10
2025-12-10,149962.89,126151.33,65.51,0.0,10
2025-12-11,152486.65,126444.88,65.51,26.298,9
2025-12-12,152785.24,125085.34,65.51,107.7575,6
2025-12-15,153183.95,124896.36,65.51,120.1877,4
2025-12-16,152966.24,124555.1,65.51,173.628,2
2025-12-17,151527.43,123184.55,65.51,199.5542,1
2025-12-18,152481.64,124114.76,65.51,225.311,0
2025-12-19,153409.94,124870.68,65.51,225.311,0
2025-12-22,154365.25,125648.61,65.51,225.311,0
2025-12-23,155070.48,126222.88,65.51,225.311,0
2025-12-24,155615.73,126666.89,65.51,225.311,0
2025-12-26,155599.95,126654.04,65.51,225.311,0
2025-12-29,155045.68,126202.69,65.51,225.311,0
2025-12-30,154856.43,126048.58,65.51,225.311,0
2025-12-31,153709.59,125114.69,65.51,225.311,0
